SalesOrderID,CustomerID,OrderDate,TotalDue
43662,29994,2011-05-31 00:00:00,32474.9324
43663,29565,2011-05-31 00:00:00,472.3108
43664,29898,2011-05-31 00:00:00,27510.4109
43670,29566,2011-05-31 00:00:00,6893.2549
43672,30067,2011-05-31 00:00:00,6895.41
43680,29489,2011-05-31 00:00:00,12832.9009
43682,29759,2011-05-31 00:00:00,4363.7107
43690,29533,2011-05-31 00:00:00,1460.6061
43699,25863,2011-05-31 00:00:00,3756.989
43705,11011,2011-06-01 00:00:00,3756.989
43716,16529,2011-06-04 00:00:00,3953.9884
43720,13264,2011-06-05 00:00:00,3953.9884
43739,13563,2011-06-10 00:00:00,3953.9884
43740,16527,2011-06-10 00:00:00,3953.9884
43756,19941,2011-06-14 00:00:00,772.5036
43757,11017,2011-06-14 00:00:00,3729.364
43759,13257,2011-06-15 00:00:00,3953.9884
43761,16493,2011-06-15 00:00:00,3953.9884
43766,16518,2011-06-17 00:00:00,3953.9884
43777,16515,2011-06-19 00:00:00,3953.9884
43778,11018,2011-06-19 00:00:00,3756.989
43787,29385,2011-06-21 00:00:00,3756.989
43789,25865,2011-06-21 00:00:00,3729.364
43793,11000,2011-06-21 00:00:00,3756.989
43800,21710,2011-06-23 00:00:00,3953.9884
43811,11026,2011-06-25 00:00:00,3756.989
43812,27662,2011-06-26 00:00:00,3953.9884
43818,16528,2011-06-26 00:00:00,3953.9884
43819,11006,2011-06-26 00:00:00,3756.989
43822,27669,2011-06-27 00:00:00,3953.9884
43824,14558,2011-06-27 00:00:00,772.5036
43827,25250,2011-06-27 00:00:00,772.5036
43830,16347,2011-06-28 00:00:00,3953.9884
43831,11028,2011-06-28 00:00:00,3729.364
43834,28393,2011-06-29 00:00:00,3729.364
43838,27641,2011-06-30 00:00:00,3953.9884
43840,17957,2011-06-30 00:00:00,772.5036
43849,29818,2011-07-01 00:00:00,23130.2957
43853,29813,2011-07-01 00:00:00,29675.6422
43854,29988,2011-07-01 00:00:00,1970.036
43858,29961,2011-07-01 00:00:00,15423.0001
43870,29675,2011-07-01 00:00:00,4859.8668
43878,29664,2011-07-01 00:00:00,4594.0664
43882,29558,2011-07-01 00:00:00,2280.1432
43884,29861,2011-07-01 00:00:00,130416.4829
43886,29698,2011-07-01 00:00:00,19543.315
43897,29522,2011-07-01 00:00:00,57683.2312
43898,29705,2011-07-01 00:00:00,57391.4284
43902,29507,2011-07-01 00:00:00,59486.4175
43913,29774,2011-07-01 00:00:00,41347.1129
43914,29521,2011-07-01 00:00:00,9179.7465
43915,29688,2011-07-01 00:00:00,4560.2864
43919,12124,2011-07-01 00:00:00,3953.9884
43923,28018,2011-07-02 00:00:00,3953.9884
43925,16661,2011-07-02 00:00:00,3953.9884
43926,11055,2011-07-03 00:00:00,3729.364
43929,25270,2011-07-03 00:00:00,772.5036
43944,11054,2011-07-06 00:00:00,3756.989
43945,16675,2011-07-06 00:00:00,3953.9884
43946,16687,2011-07-06 00:00:00,3953.9884
43948,11047,2011-07-06 00:00:00,3756.989
43950,28014,2011-07-07 00:00:00,3953.9884
43964,16745,2011-07-10 00:00:00,3953.9884
43966,11039,2011-07-10 00:00:00,3756.989
43978,28030,2011-07-13 00:00:00,3953.9884
43980,11048,2011-07-13 00:00:00,3729.364
43990,25872,2011-07-15 00:00:00,3756.989
43993,16929,2011-07-17 00:00:00,3953.9884
43995,21813,2011-07-18 00:00:00,3953.9884
43998,11033,2011-07-18 00:00:00,3729.364
44002,14572,2011-07-19 00:00:00,772.5036
44009,27759,2011-07-20 00:00:00,3953.9884
44011,13514,2011-07-20 00:00:00,3953.9884
44021,11032,2011-07-21 00:00:00,3729.364
44026,17045,2011-07-22 00:00:00,3953.9884
44028,17048,2011-07-23 00:00:00,3953.9884
44049,13538,2011-07-27 00:00:00,3953.9884
44051,13691,2011-07-28 00:00:00,3953.9884
44053,19329,2011-07-29 00:00:00,772.5036
44055,13543,2011-07-29 00:00:00,3953.9884
44071,16691,2011-07-31 00:00:00,3953.9884
44072,16656,2011-07-31 00:00:00,3953.9884
44079,29967,2011-08-01 00:00:00,28945.1938
44087,29944,2011-08-01 00:00:00,5641.191
44089,29673,2011-08-01 00:00:00,2361.5536
44090,29659,2011-08-01 00:00:00,7487.8626
44099,29897,2011-08-01 00:00:00,14074.0241
44100,29690,2011-08-01 00:00:00,91512.8507
44102,29681,2011-08-01 00:00:00,3955.642
44116,29685,2011-08-01 00:00:00,22915.4692
44124,29637,2011-08-01 00:00:00,17387.3963
44130,29642,2011-08-01 00:00:00,39881.9747
44134,13821,2011-08-01 00:00:00,3953.9884
44135,28156,2011-08-01 00:00:00,3953.9884
44145,17309,2011-08-02 00:00:00,3953.9884
44147,17320,2011-08-02 00:00:00,3953.9884
44155,28131,2011-08-04 00:00:00,3953.9884
44157,17055,2011-08-04 00:00:00,3953.9884
44163,28193,2011-08-06 00:00:00,3953.9884
44170,28183,2011-08-07 00:00:00,3953.9884
44172,14584,2011-08-07 00:00:00,772.5036
44174,17229,2011-08-08 00:00:00,3953.9884
44178,28097,2011-08-09 00:00:00,3953.9884
44181,17294,2011-08-09 00:00:00,3953.9884
44183,28158,2011-08-10 00:00:00,3953.9884
44185,17280,2011-08-10 00:00:00,3953.9884
44198,28150,2011-08-15 00:00:00,3953.9884
44202,28159,2011-08-16 00:00:00,3953.9884
44205,17285,2011-08-16 00:00:00,3953.9884
44207,28162,2011-08-17 00:00:00,3953.9884
44219,14590,2011-08-19 00:00:00,772.5036
44223,13847,2011-08-20 00:00:00,3953.9884
44228,11333,2011-08-21 00:00:00,3756.989
44229,25886,2011-08-21 00:00:00,3756.989
44230,17241,2011-08-21 00:00:00,3953.9884
44238,17079,2011-08-22 00:00:00,3953.9884
44240,13580,2011-08-23 00:00:00,3953.9884
44244,17329,2011-08-23 00:00:00,3953.9884
44246,12219,2011-08-24 00:00:00,3953.9884
44247,17233,2011-08-24 00:00:00,3953.9884
44257,12212,2011-08-27 00:00:00,3953.9884
44260,28194,2011-08-27 00:00:00,3953.9884
44267,19339,2011-08-28 00:00:00,772.5036
44268,13820,2011-08-28 00:00:00,3953.9884
44279,17326,2011-08-30 00:00:00,3953.9884
44286,30052,2011-08-31 00:00:00,6236.3616
44291,29747,2011-08-31 00:00:00,5093.9316
44293,29844,2011-08-31 00:00:00,27005.1224
44295,29596,2011-08-31 00:00:00,10668.6138
44305,29825,2011-08-31 00:00:00,21262.657
44322,17975,2011-08-31 00:00:00,772.5036
44323,11072,2011-08-31 00:00:00,3756.989
44326,17728,2011-09-01 00:00:00,3953.9884
44327,28598,2011-09-02 00:00:00,3953.9884
44339,18189,2011-09-04 00:00:00,3953.9884
44345,28200,2011-09-06 00:00:00,3953.9884
44346,14602,2011-09-06 00:00:00,772.5036
44351,28271,2011-09-07 00:00:00,3953.9884
44359,14525,2011-09-08 00:00:00,3953.9884
44365,17912,2011-09-08 00:00:00,3953.9884
44375,14183,2011-09-10 00:00:00,3953.9884
44378,25903,2011-09-10 00:00:00,3729.364
44402,13666,2011-09-14 00:00:00,3953.9884
44413,13606,2011-09-17 00:00:00,3953.9884
44416,11069,2011-09-17 00:00:00,3756.989
44427,14146,2011-09-19 00:00:00,3953.9884
44430,17927,2011-09-19 00:00:00,3953.9884
44435,28573,2011-09-21 00:00:00,3953.9884
44436,26630,2011-09-21 00:00:00,772.5036
44443,17370,2011-09-22 00:00:00,3953.9884
44445,17478,2011-09-25 00:00:00,3953.9884
44448,28264,2011-09-26 00:00:00,3953.9884
44450,28294,2011-09-26 00:00:00,3953.9884
44454,17926,2011-09-26 00:00:00,3953.9884
44461,17918,2011-09-27 00:00:00,3953.9884
44463,19340,2011-09-28 00:00:00,772.5036
44473,28255,2011-09-29 00:00:00,3953.9884
44481,29757,2011-10-01 00:00:00,29689.3502
44491,29555,2011-10-01 00:00:00,3859.279
44492,29818,2011-10-01 00:00:00,75971.892
44496,29892,2011-10-01 00:00:00,33552.2466
44502,29961,2011-10-01 00:00:00,20128.9083
44503,29554,2011-10-01 00:00:00,3410.0741
44507,29945,2011-10-01 00:00:00,44212.6089
44520,29703,2011-10-01 00:00:00,64981.7034
44521,30100,2011-10-01 00:00:00,29406.5783
44522,30091,2011-10-01 00:00:00,29448.5055
44523,29925,2011-10-01 00:00:00,83772.7786
44536,29583,2011-10-01 00:00:00,816.1709
44539,29830,2011-10-01 00:00:00,1638.6903
44545,29866,2011-10-01 00:00:00,11097.2506
44546,30022,2011-10-01 00:00:00,1970.036
44557,30095,2011-10-01 00:00:00,31670.3289
44559,29791,2011-10-01 00:00:00,19650.9027
44560,29785,2011-10-01 00:00:00,1057.9537
44561,29787,2011-10-01 00:00:00,47348.815
44563,29617,2011-10-01 00:00:00,53733.7469
44565,29756,2011-10-01 00:00:00,2434.0712
44585,28790,2011-10-04 00:00:00,3953.9884
44586,28794,2011-10-04 00:00:00,3953.9884
44588,26683,2011-10-04 00:00:00,772.5036
44590,13795,2011-10-05 00:00:00,3953.9884
44597,12290,2011-10-06 00:00:00,3953.9884
44598,29400,2011-10-06 00:00:00,3729.364
44599,28792,2011-10-06 00:00:00,3953.9884
44600,18243,2011-10-06 00:00:00,3953.9884
44609,18220,2011-10-07 00:00:00,3953.9884
44614,28650,2011-10-08 00:00:00,3953.9884
44616,28655,2011-10-08 00:00:00,3953.9884
44622,13771,2011-10-09 00:00:00,3953.9884
44625,28658,2011-10-10 00:00:00,3953.9884
44632,18196,2011-10-11 00:00:00,3953.9884
44639,14617,2011-10-12 00:00:00,772.5036
44640,18246,2011-10-12 00:00:00,3953.9884
44641,18255,2011-10-12 00:00:00,3953.9884
44649,25924,2011-10-13 00:00:00,3756.989
44651,14720,2011-10-14 00:00:00,3953.9884
44654,28619,2011-10-14 00:00:00,3953.9884
